numero_partida_fifa,fase,data_brasilia,horario_brasilia,equipe_ou_referencia_1,equipe_ou_referencia_2,grupo,partida
1,Fase de grupos,2026-06-11,16:00,México,África do Sul,A,
2,Fase de grupos,2026-06-11,23:00,Coreia do Sul,República Tcheca,A,
3,Fase de grupos,2026-06-12,16:00,Canadá,Bósnia e Herzegovina,B,
4,Fase de grupos,2026-06-12,22:00,Estados Unidos,Paraguai,D,
8,Fase de grupos,2026-06-13,16:00,Catar,Suíça,B,
7,Fase de grupos,2026-06-13,19:00,Brasil,Marrocos,C,
5,Fase de grupos,2026-06-13,22:00,Haiti,Escócia,C,
6,Fase de grupos,2026-06-14,01:00,Austrália,Turquia,D,
10,Fase de grupos,2026-06-14,14:00,Alemanha,Curaçao,E,
11,Fase de grupos,2026-06-14,17:00,Holanda,Japão,F,
9,Fase de grupos,2026-06-14,20:00,Costa do Marfim,Equador,E,
12,Fase de grupos,2026-06-14,23:00,Suécia,Tunísia,F,
14,Fase de grupos,2026-06-15,13:00,Espanha,Cabo Verde,H,
16,Fase de grupos,2026-06-15,16:00,Bélgica,Egito,G,
13,Fase de grupos,2026-06-15,19:00,Arábia Saudita,Uruguai,H,
15,Fase de grupos,2026-06-15,22:00,Irã,Nova Zelândia,G,
17,Fase de grupos,2026-06-16,16:00,França,Senegal,I,
18,Fase de grupos,2026-06-16,19:00,Iraque,Noruega,I,
19,Fase de grupos,2026-06-16,22:00,Argentina,Argélia,J,
20,Fase de grupos,2026-06-17,01:00,Áustria,Jordânia,J,
23,Fase de grupos,2026-06-17,14:00,Portugal,RD Congo,K,
22,Fase de grupos,2026-06-17,17:00,Inglaterra,Croácia,L,
21,Fase de grupos,2026-06-17,20:00,Gana,Panamá,L,
24,Fase de grupos,2026-06-17,23:00,Uzbequistão,Colômbia,K,
25,Fase de grupos,2026-06-18,13:00,República Tcheca,África do Sul,A,
26,Fase de grupos,2026-06-18,16:00,Suíça,Bósnia e Herzegovina,B,
27,Fase de grupos,2026-06-18,19:00,Canadá,Catar,B,
28,Fase de grupos,2026-06-18,22:00,México,Coreia do Sul,A,
32,Fase de grupos,2026-06-19,16:00,Estados Unidos,Austrália,D,
30,Fase de grupos,2026-06-19,19:00,Escócia,Marrocos,C,
29,Fase de grupos,2026-06-19,21:30,Brasil,Haiti,C,
31,Fase de grupos,2026-06-20,00:00,Turquia,Paraguai,D,
35,Fase de grupos,2026-06-20,14:00,Holanda,Suécia,F,
33,Fase de grupos,2026-06-20,17:00,Alemanha,Costa do Marfim,E,
34,Fase de grupos,2026-06-20,21:00,Equador,Curaçao,E,
36,Fase de grupos,2026-06-21,01:00,Tunísia,Japão,F,
38,Fase de grupos,2026-06-21,13:00,Espanha,Arábia Saudita,H,
39,Fase de grupos,2026-06-21,16:00,Bélgica,Irã,G,
37,Fase de grupos,2026-06-21,19:00,Uruguai,Cabo Verde,H,
40,Fase de grupos,2026-06-21,22:00,Nova Zelândia,Egito,G,
43,Fase de grupos,2026-06-22,14:00,Argentina,Áustria,J,
42,Fase de grupos,2026-06-22,18:00,França,Iraque,I,
41,Fase de grupos,2026-06-22,21:00,Noruega,Senegal,I,
